Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS06685,gTSS+1297919,natA,552.1,-2.36,7.94E-16,0.08,7.93E-01,ABC transporter ATP-binding protein
M744_RS06690,gTSS-12997093717.91 ,2.97,1.02E-37,-0.2,4.58E-01,0.38,2.17E-01,
M744_RS06700,gTSS-1300743814.49 ,2.2,1.32E-15,-2.17,8.71E-11,-0.29,4.76E-01,
M744_RS06725,gTSS+1307008548.03 ,-3.33,8.40E-14,1.35,3.61E-06,-0.46,2.35E-01,
M744_RS06740,gTSS+1309146,psbU,25877.64,-2,4.42E-16,-0.06,8.32E-01,photosystem II extrinsic protein
M744_RS06750,gTSS-13116943307.66 ,-3.63,1.34E-36,0.85,1.67E-03,-0.09,8.27E-01,
M744_RS06755,gTSS+1311861,moxR,1190.89,-0.61,1.55E-02,1.75,4.71E-14,ATPase AAA
M744_RS06800,gTSS+13214885897.75 ,1.88,1.77E-03,-0.12,8.67E-01,-1.6,2.81E-02,
M744_RS06815,gTSS-13275493587.64 ,-4.92,3.61E-08,5.01,7.49E-84,-2.47,1.82E-11,
M744_RS06820,gTSS+13276407821.24 ,2.27,2.96E-27,1.13,1.83E-07,-0.4,1.39E-01,
M744_RS06835,gTSS-1329943501.11 ,0.22,5.08E-01,0.91,3.30E-03,-0.65,8.91E-02,
M744_RS06855,gTSS+1333280,"ycf29, rre1",1901.65,1.11,3.54E-07,1.39,2.32E-10,chemotaxis protein CheY
M744_RS06860,gTSS-1336777839.93 ,1.67,7.25E-13,1.47,4.24E-10,0.07,8.66E-01,
M744_RS06865,gTSS-1337668,ho1,5862.95,-1.68,1.56E-13,-1.97,9.25E-18,heme oxygenase
M744_RS06870,gTSS+1337652,mmsB,953.35,-0.68,1.07E-02,0.48,7.42E-02,3-hydroxy acid dehydrogenase
M744_RS06895,gTSS-1343821623.89 ,-0.53,9.47E-02,1.12,1.78E-04,0.31,4.53E-01,
M744_RS06900,gTSS-134530611511.05 ,-0.99,3.61E-05,0.69,5.44E-03,-0.14,7.09E-01,
M744_RS06935,gTSS-135283835853.32 ,5.1,2.32E-91,-2.54,1.20E-20,0.73,1.88E-02,
M744_RS06950,gTSS-13555212670.71 ,2.47,3.65E-27,-0.13,6.52E-01,-0.25,4.55E-01,
M744_RS06965,gTSS+13576329047.05 ,1.98,1.08E-20,-0.61,6.51E-03,0.5,5.73E-02,
M744_RS06970,gTSS+1358457,chlB,11015.11,3.5,1.40E-41,-3.45,2.05E-32,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B
M744_RS06975,gTSS+13600712202.10 ,-0.33,1.54E-01,0.21,4.06E-01,-0.25,4.12E-01,
M744_RS06980,gTSS+136044117223.98 ,3.32,1.06E-71,0.51,1.02E-02,-0.14,6.08E-01,
M744_RS06985,gTSS-1361468766.22 ,-2.06,2.45E-11,0.88,1.81E-03,-0.13,7.69E-01,
M744_RS06990,gTSS-1361962586.96 ,-3.14,9.51E-22,0.39,1.43E-01,-0.71,1.97E-02,
M744_RS06995,gTSS-13627147579.55 ,-1.64,3.16E-11,0.17,5.42E-01,0.3,3.74E-01,
M744_RS07000,gTSS+13627924567.91 ,-1.82,3.65E-10,1.27,1.22E-05,-0.59,9.91E-02,
M744_RS07005,gTSS+1363425,"guaB, gnaB",4712.65,-2.1,1.60E-18,1.23,1.55E-07,guanosine monophosphate reductase
M744_RS07015,gTSS-1366281,hisA,2084.31,-0.05,8.55E-01,1.5,5.23E-09,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
M744_RS07030,gTSS+13672801771.42 ,-1.86,6.11E-13,1.53,8.52E-11,-0.34,2.77E-01,
M744_RS07040,gTSS+13688182261.65 ,2.04,5.11E-23,-0.1,6.85E-01,-0.13,6.77E-01,
M744_RS07045,gTSS+1369282,nblB,2439.68,-2.81,8.11E-21,1.27,5.79E-06,PBS lyase
M744_RS07055,gTSS+137067793503.54 ,0.86,4.67E-05,-1.29,2.02E-09,-0.4,1.38E-01,
M744_RS07090,gTSS+1378092,htpG,3999.91,0.48,3.63E-02,1.59,2.48E-12,molecular chaperone HtpG
M744_RS07095,gTSS-13835531007.36 ,2.54,8.90E-22,-2.7,4.40E-15,1.1,3.57E-04,
M744_RS07100,gTSS-1385558,dfa3,547.03,-0.25,3.83E-01,0.99,1.93E-04,flavin oxidoreductase
M744_RS07105,gTSS-1387470,dfa1,12128.61,-0.94,1.96E-04,-1.68,3.53E-11,diflavin flavoprotein A
M744_RS07120,gTSS-1389219,bcp,5100.75,-2.83,3.35E-37,-1.02,3.78E-06,peroxiredoxin
M744_RS07130,gTSS+13900442241.45 ,-1.64,9.15E-09,-1.57,3.49E-08,0.77,2.10E-02,
M744_RS07150,gTSS-139458445504.23 ,1.45,2.48E-02,-1.62,1.48E-02,-1.84,1.58E-02,
M744_RS07165,gTSS-1397629823.12 ,-5.33,4.22E-24,0.78,3.38E-03,-0.8,9.62E-03,
M744_RS07170,gTSS+1397700866.11 ,0.04,8.71E-01,1.47,5.53E-10,0.04,9.20E-01,
M744_RS07185,gTSS-1400054,trxA,5560.15,-4.42,7.03E-43,2.09,4.95E-16,thiol reductase thioredoxin
M744_RS07190,gTSS-1401197,hemB,3134.86,-2.08,1.15E-21,-0.28,2.28E-01,delta-aminolevulinic acid dehydratase
M744_RS07195,gTSS+1401356537.82 ,0.44,6.58E-01,-0.36,7.45E-01,-2.18,6.14E-02,
M744_RS07200,gTSS-1403783,mbpA,2754.34,3.45,1.20E-52,-0.12,6.71E-01,adenine methyltransferase
M744_RS07205,gTSS-1404472,dnaJ,1947.13,1.28,8.26E-09,0.98,1.64E-05,molecular chaperone DnaJ
M744_RS07215,gTSS+1409713,nifU,1589.18,1.03,5.23E-06,1.12,1.14E-06,iron-sulfur cluster assembly scaffold protein NifU
M744_RS07230,gTSS-1412011,sigF2,10737.88,2.87,1.42E-27,-3.59,2.03E-36,RNA polymerase sigma factor SigF
M744_RS07235,gTSS-14151801078.09 ,-0.18,4.55E-01,0.17,4.94E-01,0.05,8.99E-01,
M744_RS07240,gTSS+1415314,thrC,27852.66,-3.01,1.09E-32,1.24,1.55E-06,threonine synthase
M744_RS07250,gTSS-1418706,mutL,1021.74,0.97,2.63E-04,0.84,1.99E-03,DNA mismatch repair protein MutL
M744_RS07260,gTSS+14205732396.75 ,-3.86,2.22E-31,1.28,5.46E-06,-1.72,2.47E-08,
M744_RS07270,gTSS-14237403412.48 ,2.72,1.46E-28,-1.08,4.55E-05,-0.57,6.86E-02,
M744_RS07280,gTSS-1425136,rps21,277506.91,-2.55,1.74E-34,2.71,5.74E-38,30S ribosomal protein S21
M744_RS07290,gTSS-1425761,rps16,196084.64,-4.12,8.10E-66,3.61,2.29E-52,30S ribosomal protein S16
M744_RS07295,gTSS-1427296,ffh,3658.52,-0.75,1.69E-03,2.15,1.61E-21,signal recognition particle protein
M744_RS07335,gTSS-143417535894.49 ,2.12,3.22E-27,-0.65,1.61E-03,0.08,8.11E-01,
M744_RS07345,gTSS-1436764557.01 ,-1.22,2.03E-04,0.57,7.92E-02,-1.37,1.33E-04,
M744_RS07350,gTSS-1437957,ald,4017.88,-1.95,4.23E-21,0.53,1.14E-02,alanine dehydrogenase
M744_RS07365,gTSS-143980719429.48 ,4.29,5.40E-73,-2.59,1.16E-23,0.89,1.66E-03,
M744_RS07380,gTSS+14426969847.56 ,-0.73,5.40E-04,0.32,1.57E-01,0.37,1.75E-01,
M744_RS07385,gTSS+144361015680.38 ,-1.29,1.46E-07,-1.03,4.63E-05,-0.45,1.50E-01,
M744_RS07405,gTSS+14454863178.54 ,1.92,6.61E-18,0.47,4.81E-02,-0.44,1.24E-01,
M744_RS07425,gTSS-1450400,ndhH,5625.36,-4.13,4.48E-55,-0.16,5.74E-01,NAD(P)H-quinone oxidoreductase subunit H
M744_RS07430,gTSS-1451699,gap2,58906.65,-4.03,1.31E-63,2.42,1.06E-24,aldehyde dehydrogenase
M744_RS07470,gTSS-1460135,ftrC,16933.3,0.7,1.14E-02,-0.39,1.92E-01,ferredoxin--nitrite reductase
M744_RS07475,gTSS+146011324690.91 ,2.81,1.48E-37,0,9.89E-01,-1.29,2.28E-07,
M744_RS07490,gTSS-1462435625.24 ,-1.84,2.43E-07,-0.95,6.93E-03,-0.04,9.43E-01,
M744_RS07505,gTSS+1464215630.88 ,-3.55,3.86E-22,0.3,3.53E-01,-0.48,2.01E-01,
M744_RS07510,gTSS+1464833,lspA,573.98,-1.51,3.26E-03,3.66,1.84E-30,signal peptidase II
M744_RS07520,gTSS+14669912062.23 ,0.88,7.60E-03,5.43,5.95E-86,0.21,6.56E-01,
M744_RS07530,gTSS+1469210,sbpA,2497.18,-4.97,3.60E-06,2.87,3.89E-03,sulfate-binding protein
M744_RS07540,gTSS+14705292450.66 ,-0.39,1.15E-01,0.48,6.18E-02,-1.26,3.88E-06,
M744_RS07545,gTSS-147200610197.93 ,-6.77,1.28E-58,1.59,1.10E-07,-0.98,4.95E-03,
M744_RS07565,gTSS+1475390,glcF,2053.36,0.41,7.97E-02,1.52,1.39E-11,glycolate oxidase
M744_RS07570,gTSS+14767853428.84 ,4.95,7.36E-74,0.2,5.48E-01,-0.14,7.73E-01,
M744_RS07575,gTSS+1480557,"upp, uraP",5074.01,-2.76,6.42E-31,2.01,5.94E-21,uracil phosphoribosyltransferase
M744_RS07580,gTSS-1482335,metX,615.5,-0.25,3.43E-01,-1.16,5.16E-06,hypothetical protein
M744_RS07585,gTSS-14831881791.65 ,-2.55,4.99E-21,0.46,8.73E-02,-0.34,3.08E-01,
M744_RS07595,gTSS-14842272404.49 ,3.68,1.47E-44,-0.31,3.19E-01,1.11,3.53E-04,
M744_RS07600,gTSS-1484441,"rpoZ, ycf61",10984.54,0.14,5.97E-01,2.55,4.44E-24,DNA-directed RNA polymerase subunit omega
M744_RS07605,gTSS+1484555742.68 ,-3.15,1.51E-14,1.83,2.32E-12,-0.33,3.60E-01,
M744_RS07610,gTSS-1488296,"prlC, opdA",2538.91,-3.37,1.03E-27,1.83,2.99E-13,peptidase M3
M744_RS07620,gTSS-1491252713.12 ,-0.35,3.04E-01,2.36,4.50E-16,0.05,9.18E-01,
M744_RS07625,gTSS-14924583538.12 ,0.67,1.25E-03,-0.99,3.39E-06,0.17,5.78E-01,
M744_RS07630,gTSS+1492412,ams1,925.36,0.42,9.60E-02,1.25,2.27E-07,alpha-mannosidase
M744_RS07635,gTSS-14965331058.10 ,1.9,2.89E-09,-0.66,6.00E-02,-0.76,6.08E-02,
M744_RS07640,gTSS+1496589,wcaG,1589.18,-3.47,1.89E-18,2.52,2.02E-24,GDP-fucose synthetase
M744_RS07645,gTSS+1497507938.19 ,0.24,3.68E-01,-0.08,7.93E-01,-0.3,3.87E-01,
M744_RS07650,gTSS-14995977023.12 ,3.05,2.50E-39,-0.28,2.87E-01,-0.8,4.50E-03,
M744_RS07665,gTSS-1501861729.71 ,-4.68,3.01E-15,1.52,2.57E-07,-0.72,5.01E-02,
M744_RS07675,gTSS+1504626,"divK, rre42",615.91,-3.22,2.33E-15,1.24,1.40E-05,response regulator
M744_RS07690,gTSS-1508585656.22 ,0.29,4.82E-01,0.96,1.85E-02,-2.11,2.53E-06,
M744_RS07725,gTSS-1514277,cysT,904.4,-1.97,5.07E-12,1.37,1.24E-08,sulfate ABC transporter permease
M744_RS07730,gTSS-1515497,sbpA,1180.91,-1.92,8.33E-07,1.81,4.46E-07,sulfate-binding protein
M744_RS07740,gTSS-1517239,"psb28, psb13",9866.08,-1.24,3.43E-10,1.48,4.81E-14,photosystem II reaction center protein Psb28
M744_RS07750,gTSS+15173576110.05 ,0.53,3.91E-02,-0.12,6.90E-01,-0.6,5.47E-02,
M744_RS07755,gTSS+151897721291.85 ,2.44,2.13E-26,-0.26,3.08E-01,-0.19,5.75E-01,
M744_RS07765,gTSS+1520264642.30 ,4.22,4.98E-25,3.57,8.54E-18,2.49,5.31E-08,
M744_RS07775,gTSS-1521958,vanY,6007.36,-1.24,2.23E-10,0.93,2.08E-06,D-alanyl-D-alanine carboxypeptidase
M744_RS07800,gTSS+15285704870.55 ,2.67,2.47E-42,-0.04,8.74E-01,-0.24,3.88E-01,
M744_RS07830,gTSS-1534954882.44 ,-1,1.14E-04,0.9,2.45E-04,-0.17,6.38E-01,
M744_RS07845,gTSS-1536140785.61 ,-2.94,8.58E-11,2.1,5.74E-12,-0.07,8.86E-01,
M744_RS07850,gTSS+1536210,"cpx, katG",11975.81,3.26,1.59E-32,-4.68,9.64E-49,catalase-peroxidase
M744_RS07865,gTSS+1539597,gldA,834.48,4.85,1.81E-48,-0.35,4.48E-01,glycerol dehydrogenase
M744_RS07875,gTSS-1543470,rffM,8478.86,2.5,3.70E-32,0.04,8.93E-01,glycosyltransferase
M744_RS07880,gTSS+15434662400.75 ,-2.84,1.49E-23,1.32,3.64E-07,-0.07,8.72E-01,
M744_RS07885,gTSS-15477041398.87 ,-0.39,2.36E-01,0.02,9.68E-01,-2.19,2.44E-10,
M744_RS07890,gTSS+154780120078.63 ,3.11,1.94E-30,0.24,4.47E-01,-0.95,3.65E-03,
M744_RS07900,gTSS-155018522812.87 ,4.89,5.60E-119,-2.72,4.50E-30,0.73,3.98E-03,
M744_RS07910,gTSS-15525691204.99 ,3.5,2.16E-39,0.37,2.30E-01,-0.03,9.48E-01,
M744_RS07940,gTSS-15578113380.99 ,-0.43,7.64E-02,1.11,2.62E-06,-0.73,8.04E-03,
M744_RS07945,gTSS+15578743406.18 ,-5.79,1.81E-48,0.32,3.77E-01,-3.03,3.06E-18,
M744_RS07955,gTSS+1559524,somB,2101.66,0.65,3.51E-03,-2.03,3.98E-19,porin
M744_RS07995,gTSS-1568466631.88 ,0.04,9.30E-01,0.64,1.43E-01,-1.97,3.17E-05,
M744_RS08015,gTSS+157228825469.75 ,-7.65,6.82E-106,-1.37,2.78E-05,-6.6,2.30E-92,
M744_RS08040,gTSS-1577066,hisH,52159.8,3.2,1.32E-56,0.34,1.27E-01,imidazole glycerol phosphate synthase subunit HisH
M744_RS08045,gTSS+15771455621.04 ,-5.87,9.46E-29,3.07,1.36E-33,-0.71,2.27E-02,
M744_RS08055,gTSS-1581029,murE,875.18,-2.22,4.75E-19,-0.38,1.23E-01,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
M744_RS08065,gTSS-1581649692.77 ,-1.65,3.36E-10,0.32,2.23E-01,-0.06,8.71E-01,
M744_RS08070,gTSS+1581596,rps4,48220.58,-4.26,1.83E-48,3.65,1.28E-40,30S ribosomal protein S4
M744_RS08075,gTSS+1582981,cmpA,4663.09,-7.74,1.77E-08,2.49,2.41E-02,bicarbonate-binding protein CmpA
M744_RS08095,gTSS+15885582572.44 ,-3.26,2.21E-28,1.07,6.89E-05,0.65,4.43E-02,
M744_RS08120,gTSS-15927662333.87 ,-2.5,5.03E-23,1.24,6.25E-08,-0.86,1.09E-03,
M744_RS08125,gTSS+15928301529.29 ,-2.65,8.16E-18,1.88,1.60E-14,-1.06,2.50E-04,
M744_RS08130,gTSS-1593632,petF,19646.71,-3.99,8.09E-58,-0.27,3.19E-01,Ferredoxin-1
M744_RS08140,gTSS-1596353,serA,6608.99,-1.15,1.40E-07,2.78,4.48E-42,phosphoglycerate dehydrogenase
M744_RS08145,gTSS+15962662351.83 ,-2.22,1.01E-19,1.51,6.18E-12,-0.45,1.07E-01,
M744_RS08150,gTSS+1596548632.68 ,5.24,9.70E-45,0.02,9.69E-01,1.11,2.43E-02,
M744_RS08155,gTSS+15978691015.60 ,5.62,3.98E-72,-0.87,7.34E-02,1.49,1.20E-04,
M744_RS08160,gTSS-1600597,leuB,3977.95,-4.16,1.09E-46,1.78,9.71E-16,3-isopropylmalate dehydrogenase
M744_RS08165,gTSS-160120237626.50 ,4.73,2.78E-117,-2.25,1.08E-24,0.32,2.53E-01,
M744_RS08180,gTSS-1603881982.26 ,-3.2,4.39E-20,0.3,3.75E-01,-0.43,3.00E-01,
M744_RS08185,gTSS+1603941,trmU,21309.34,2.11,4.26E-30,0.35,7.79E-02,tRNA 2-thiouridine(34) synthase MnmA
M744_RS08200,gTSS-1608053,zds,1821.77,-2.75,5.14E-16,2.28,1.57E-17,zeta-carotene desaturase
M744_RS08225,gTSS-16130131183.55 ,1.26,2.37E-08,-0.14,5.93E-01,-0.03,9.45E-01,
M744_RS08230,gTSS+1613190,pcrA,640.86,-1.46,1.10E-08,0.52,3.21E-02,ATP-dependent helicase
M744_RS08240,gTSS+1617094,rps2,130655.55,-2.44,6.60E-27,2.86,2.51E-36,30S ribosomal protein S20
M744_RS08245,gTSS+1617432,tatD,2680.79,-0.84,1.26E-04,-0.24,3.13E-01,deoxyribonuclease
M744_RS08250,gTSS+1618336,rpoB,28406.68,-3.26,6.77E-42,3.21,6.55E-46,DNA-directed RNA polymerase subunit beta
M744_RS08265,gTSS+1627972,typA,1530.29,0.42,7.55E-02,1.93,1.19E-17,translational GTPase TypA
M744_RS08270,gTSS+16296012075.11 ,3.39,3.70E-48,-1.07,6.33E-05,0.29,3.93E-01,
M744_RS08275,gTSS+16308621399.88 ,0.36,2.27E-01,-1.23,4.27E-05,-1.18,4.04E-04,
M744_RS08280,gTSS-1633806,ycf49,666.82,-0.74,9.68E-03,0.91,8.94E-04,hypothetical protein
M744_RS08285,gTSS+16338241052.14 ,-1.24,2.45E-06,1.25,2.92E-07,-0.26,4.43E-01,
M744_RS08295,gTSS+1635382,modA,49730.89,5.02,4.58E-137,-0.64,3.12E-03,molybdate ABC transporter substrate-binding protein
M744_RS08320,gTSS+16401341746.55 ,-1.44,3.19E-10,-1.19,2.30E-07,-0.66,1.35E-02,
M744_RS08335,gTSS-1645040,isiA,1048.54,0.82,3.60E-03,-0.82,5.42E-03,iron stress-induced chlorophyll-binding protein
M744_RS08340,gTSS+16454221304.07 ,-0.21,3.83E-01,-0.29,2.60E-01,-0.12,7.43E-01,
M744_RS08350,gTSS+1645939790.15 ,-1.06,1.71E-03,-0.84,1.23E-02,0.87,2.20E-02,
M744_RS08365,gTSS+1650748,umuD,676.53,-2.81,5.45E-21,-1.17,1.16E-05,DNA polymerase V
M744_RS08370,gTSS+1651171,umuC,1216.27,3.51,7.85E-32,-2.2,1.14E-08,DNA-directed DNA polymerase
M744_RS08390,gTSS-1656526,clpP,5152.87,-1.17,2.64E-08,0.61,4.82E-03,ATP-dependent Clp protease proteolytic subunit
M744_RS08395,gTSS+16565451485.37 ,-2.52,1.76E-11,2.68,2.36E-21,-0.59,1.08E-01,
M744_RS08400,gTSS+16566002616.37 ,-1.62,1.09E-09,2.06,2.79E-17,-0.24,4.90E-01,
M744_RS08410,gTSS+1659222,ggt,3535.74,-2.48,9.94E-12,1.6,9.30E-06,hypothetical protein
M744_RS08420,gTSS+16609131910.77 ,3.31,2.60E-31,-1.5,3.52E-06,-0.5,2.01E-01,
M744_RS08435,gTSS-166463020162.15 ,2.07,1.27E-29,0.71,2.26E-04,0.53,1.67E-02,
M744_RS08455,gTSS+1666520771.28 ,-3.33,2.55E-11,2.4,2.54E-16,-0.18,6.96E-01,
M744_RS08490,gTSS-1674112,pacS,2799.75,3.6,3.74E-30,-3.28,2.81E-16,copper-transporting ATPase PacS
M744_RS08525,gTSS-1686685,argS,2166.16,-3.16,9.44E-17,2.68,1.43E-23,arginine--tRNA ligase
M744_RS08535,gTSS+1688010949.72 ,2.18,9.57E-15,-2.91,7.50E-16,0.67,5.82E-02,
M744_RS08540,gTSS-16890941004.62 ,1.21,6.50E-07,1.01,5.15E-05,-0.4,2.18E-01,
M744_RS08545,gTSS+1689702681.77 ,2.96,1.28E-25,-0.03,9.27E-01,-0.33,4.44E-01,
M744_RS08560,gTSS-1694800998.23 ,0.86,3.97E-04,1.79,4.08E-14,0.35,2.70E-01,
M744_RS08570,gTSS+1695977839.93 ,2.65,1.38E-16,0.56,1.13E-01,-0.45,3.26E-01,
M744_RS08575,gTSS-16978322978.17 ,2.81,1.56E-31,-1.39,1.14E-07,0.21,5.62E-01,
M744_RS08580,gTSS-1700494959.30 ,-2.26,7.93E-13,0.76,1.09E-02,-0.53,1.46E-01,
M744_RS08595,gTSS-1703696,"nbp1, rps1b",7265.13,-1.64,4.33E-15,2.45,9.46E-36,30S ribosomal protein S1
M744_RS08605,gTSS+1704594,ado,11709.56,0.51,1.65E-02,1.81,9.85E-18,aldehyde oxygenase (deformylating)
M744_RS08615,gTSS+1705796,accA,669.04,1.43,5.14E-08,0.09,7.78E-01,acetyl-CoA carboxylase carboxyl transferase subunit alpha
M744_RS08635,gTSS+17096211904.18 ,-1.01,9.99E-07,0.72,4.10E-04,0.59,1.28E-02,
M744_RS08650,gTSS+1712743,"ampC, penP",1000.23,-3.96,3.26E-33,0.33,2.34E-01,serine hydrolase
M744_RS08665,gTSS+17160682746.13 ,-2.72,2.47E-04,-0.88,2.71E-01,-1.92,3.14E-02,
M744_RS08675,gTSS+1718546,manC,2246.02,-1.38,3.07E-09,0.67,4.42E-03,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
M744_RS08700,gTSS+172666017781.18 ,0.9,3.47E-04,0.9,5.26E-04,-0.66,3.23E-02,
M744_RS08710,gTSS+1727317,rnpA,512.08,-0.43,3.85E-01,2.73,1.09E-10,ribonuclease P protein component
M744_RS08715,gTSS+172777624504.94 ,-2.35,1.36E-23,-1.07,1.09E-05,-0.84,2.38E-03,
M744_RS08720,gTSS+1728357,yidC,3259.23,-3.36,9.65E-32,1.29,6.79E-07,membrane protein insertase YidC
M744_RS08740,gTSS-17338113953.76 ,-0.79,7.55E-05,0.8,6.09E-05,-0.31,2.28E-01,
M744_RS08750,gTSS+1736885984.90 ,-3.05,1.47E-17,-1.37,3.47E-05,0.52,2.01E-01,
M744_RS08760,gTSS-17396853483.38 ,2.33,9.11E-17,-0.59,5.34E-02,-0.72,3.88E-02,
M744_RS08765,gTSS-1740295839.51 ,-3.84,1.01E-17,1.41,1.98E-06,0.04,9.40E-01,
M744_RS08770,gTSS-17415103394.30 ,2.78,2.63E-36,0.52,3.02E-02,-0.16,6.28E-01,
M744_RS08825,gTSS+175186635836.85 ,2.82,4.94E-42,-3,2.48E-44,0.3,2.85E-01,
M744_RS08850,gTSS-1756096,fabH,24396.78,-2.51,2.51E-33,3.16,8.93E-58,3-oxoacyl-ACP synthase III
M744_RS08860,gTSS-17581571018.56 ,-0.63,1.96E-02,-0.11,7.34E-01,0.23,5.46E-01,
M744_RS08870,gTSS-17601882541.43 ,-1.4,2.40E-09,0.9,1.14E-04,-0.63,2.24E-02,
M744_RS08875,gTSS-1761009,pstB,1259.77,-0.5,3.43E-02,1.16,3.06E-07,phosphate ABC transporter ATP-binding protein
M744_RS08880,gTSS+1761028578.14 ,1.32,7.50E-06,-0.22,5.14E-01,-1.22,5.38E-04,
M744_RS08885,gTSS-1763149,nadA,24401.78,3.27,2.33E-52,0.22,3.64E-01,quinolinate synthase
M744_RS08890,gTSS-1763996,ccaA,2731.16,-1.73,9.91E-10,2.77,3.39E-30,carbonic anhydrase
M744_RS08895,gTSS+176409927354.35 ,3.3,1.49E-44,-1.44,4.87E-09,1.06,1.08E-04,
M744_RS08910,gTSS-1767314,fba,40283.63,-3.21,1.16E-54,0.08,7.35E-01,"fructose-1,6-bisphosphate aldolase"
M744_RS08920,gTSS-17681101721.03 ,3.16,2.51E-31,-0.92,2.72E-03,-0.35,3.64E-01,
M744_RS08925,gTSS+17680121495.78 ,-2.78,3.08E-19,1.79,3.39E-13,0.15,6.81E-01,
M744_RS08935,gTSS+1769356,thrB,1199.87,-5.84,7.71E-08,3.07,4.57E-24,homoserine kinase
M744_RS08945,gTSS+1772169,pmgA,65602.45,2.88,2.13E-43,1.35,3.71E-10,phosphonate transporter
M744_RS08950,gTSS-17732211674.36 ,0.74,3.12E-03,-0.68,8.81E-03,-0.31,3.59E-01,
M744_RS08955,gTSS+1773239923.22 ,-0.02,9.27E-01,-0.32,2.22E-01,0.02,9.62E-01,
M744_RS08970,gTSS-1777512,argC,3822.23,-2.59,1.56E-27,1.46,4.34E-11,N-acetyl-gamma-glutamyl-phosphate reductase
M744_RS08975,gTSS+1777727,ribA,23452.82,4.3,1.58E-92,0.43,6.27E-02,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"
M744_RS08990,gTSS+17809042659.77 ,3.3,5.18E-39,-1.95,3.58E-11,1.06,3.57E-04,
M744_RS08995,gTSS-1783390,purK,778.87,-1.89,6.15E-11,1.11,1.00E-05,5-(carboxyamino)imidazole ribonucleotide synthase
M744_RS09000,gTSS-1784161,rbcS,525.99,-0.21,4.87E-01,0.6,4.21E-02,ribulose bisphosphate carboxylase small subunit
M744_RS09025,gTSS-1788907,ccmL,1069.11,-3.19,6.17E-17,2.06,7.21E-17,carbon dioxide concentrating mechanism protein CcmL
M744_RS09040,gTSS-1791945,chlL,18533.27,5.62,4.40E-94,-1.44,1.84E-06,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein
M744_RS09055,gTSS-1796225,topA,4679.98,1.83,3.36E-20,0,9.99E-01,DNA topoisomerase 1
M744_RS09060,gTSS+1796310,ndhB,4171.24,-4.02,6.57E-54,1.09,1.70E-06,NAD(P)H-quinone oxidoreductase subunit 2
M744_RS09065,gTSS+17980021617.80 ,-0.22,4.19E-01,-0.47,8.51E-02,-0.82,6.82E-03,
M744_RS09070,gTSS-1799701559.01 ,-1.12,7.69E-05,0.56,3.98E-02,0.5,1.23E-01,
M744_RS09075,gTSS+179960315184.55 ,1.55,1.35E-13,-0.54,1.42E-02,-0.36,1.89E-01,
M744_RS09085,gTSS+1800874,leuA,10797.87,-0.02,9.34E-01,0.44,4.17E-02,2-isopropylmalate synthase
M744_RS09100,gTSS-1806493,"futB, hitB",1668.87,0.95,3.46E-06,-0.47,2.92E-02,iron ABC transporter permease
M744_RS09105,gTSS+18065162717.98 ,2.66,1.18E-30,0.19,4.80E-01,0.68,1.56E-02,
M744_RS09110,gTSS-1808340868.64 ,-2.01,3.84E-09,2.17,6.01E-17,0,9.97E-01,
M744_RS09135,gTSS+18120667286.74 ,4.86,3.93E-54,-1.23,4.66E-04,0.24,6.24E-01,
M744_RS09150,gTSS-181831836812.33 ,-0.87,1.58E-04,-3.52,1.26E-52,0.93,4.40E-04,
M744_RS09155,gTSS+18184431139.92 ,1.21,9.26E-06,-1.18,4.34E-05,0.23,5.60E-01,
M744_RS09165,gTSS-18209403277.36 ,2.37,2.65E-28,-0.11,6.72E-01,-0.3,3.16E-01,
M744_RS09175,gTSS+18223122303.92 ,-3.88,4.11E-04,6.07,3.59E-95,-2.45,6.71E-06,
M744_RS09185,gTSS+18283781377.14 ,-3.13,4.14E-26,-0.61,3.38E-02,-0.73,2.76E-02,
M744_RS09195,gTSS-1831535,ecaA,901.75,0.95,1.48E-04,-0.01,9.74E-01,carbonic anhydrase
M744_RS09200,gTSS-18316321237.81 ,-0.74,2.75E-03,1.5,5.43E-11,-0.06,8.82E-01,
M744_RS09205,gTSS+18316882178.14 ,0,9.88E-01,0.54,7.93E-03,-0.14,6.26E-01,
M744_RS09210,gTSS+18329262239.03 ,-1.24,5.68E-08,1,8.41E-06,-0.14,6.86E-01,
M744_RS09215,gTSS-18340905234.16 ,2.15,5.05E-10,-0.75,4.26E-02,-1.28,1.73E-03,
M744_RS09220,gTSS+1834112,ppa,580.97,0.14,6.63E-01,1.7,1.54E-09,inorganic pyrophosphatase
