Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS10785,CP006471,2179297,2180013,-,gene2175,protein_coding,M744_11310,ribonuclease PH,WP_011242788.1
M744_RS10790,CP006471,2180142,2180693,+,gene2176,protein_coding,M744_11315,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_011377853.1
M744_RS10795,CP006471,2180817,2181317,+,gene2177,protein_coding,M744_11320,bifunctional nuclease family protein,WP_011242790.1
M744_RS10800,CP006471,2181613,2182734,+,gene2178,protein_coding,M744_11325,oxidoreductase,WP_011242791.1
M744_RS10805,CP006471,2182737,2183465,+,gene2179,protein_coding,,hypothetical protein,WP_011377851.1
M744_RS10810,CP006471,2183691,2184986,-,gene2180,protein_coding,M744_11335,2-oxo acid dehydrogenase subunit E2,WP_011377850.1
M744_RS10815,CP006471,2185182,2185730,-,gene2181,protein_coding,M744_11340,hypothetical protein,WP_011242794.1
M744_RS10820,CP006471,2185727,2185975,-,gene2182,protein_coding,M744_11345,hypothetical protein,WP_011377849.1
M744_RS10825,CP006471,2185980,2189099,-,gene2183,protein_coding,M744_11350,type I restriction endonuclease subunit R,WP_011242795.1
M744_RS10830,CP006471,2189096,2190457,-,gene2184,protein_coding,M744_11355,restriction endonuclease subunit S,WP_011377848.1
M744_RS10835,CP006471,2190722,2190970,-,gene2185,protein_coding,M744_11360,DUF4351 domain-containing protein,WP_011242797.1
M744_RS10840,CP006471,2190984,2191211,-,gene2186,protein_coding,M744_11365,DUF4351 domain-containing protein,WP_011377847.1
M744_RS10845,CP006471,2191251,2192186,-,gene2187,protein_coding,M744_11370,DUF4351 domain-containing protein,WP_011242799.1
M744_RS10850,CP006471,2192190,2192390,-,gene2188,protein_coding,M744_11375,hypothetical protein,WP_039755764.1
M744_RS10855,CP006471,2192412,2194439,-,gene2189,protein_coding,M744_11380,SAM-dependent DNA methyltransferase,WP_011242800.1
M744_RS10860,CP006471,2194631,2195563,-,gene2190,protein_coding,M744_11385,DUF1517 domain-containing protein,WP_011242801.1
M744_RS10865,CP006471,2195676,2195888,-,gene2191,protein_coding,M744_11390,sulfur carrier protein ThiS,WP_011242802.1
M744_RS10870,CP006471,2195906,2196937,-,gene2192,protein_coding,M744_11395,thiamine phosphate synthase,WP_011377846.1
M744_RS10875,CP006471,2196976,2197758,-,gene2193,protein_coding,M744_11400,DUF4115 domain-containing protein,WP_011242804.1
M744_RS10880,CP006471,2197785,2198408,-,gene2194,protein_coding,M744_11405,phycobilisome maturation protein,WP_011377845.1
M744_RS10885,CP006471,2198415,2199236,-,gene2195,protein_coding,M744_11410,phycocyanobilin lyase,WP_011242806.1
M744_RS10890,CP006471,2199327,2199818,-,gene2196,protein_coding,M744_11415,phycocyanin subunit alpha,WP_011242807.1
M744_RS10895,CP006471,2199870,2200391,-,gene2197,protein_coding,M744_11420,phycocyanin subunit beta,WP_011242808.1
M744_RS10900,CP006471,2200901,2201146,-,gene2198,protein_coding,M744_11425,photosystem I reaction center subunit XII,WP_011242809.1
M744_RS10905,CP006471,2201238,2202107,-,gene2199,protein_coding,M744_11430,photosystem I reaction center subunit XII,WP_011242810.1
M744_RS10910,CP006471,2202155,2202976,-,gene2200,protein_coding,M744_11435,photosystem I reaction center subunit XII,WP_011377844.1
M744_RS10915,CP006471,2203082,2203573,-,gene2201,protein_coding,M744_11440,phycocyanin subunit alpha,WP_011242807.1
M744_RS10920,CP006471,2203625,2204146,-,gene2202,protein_coding,M744_11445,phycocyanin subunit beta,WP_011242808.1
M744_RS10925,CP006471,2204775,2205203,-,gene2203,protein_coding,M744_11450,hypothetical protein,WP_011377843.1
M744_RS10930,CP006471,2205350,2206921,+,gene2204,protein_coding,M744_11455,amidase,WP_011377842.1
M744_RS10935,CP006471,2207002,2207724,+,gene2205,protein_coding,M744_11460,thymidylate synthase (FAD),WP_011242816.1
M744_RS10940,CP006471,2207842,2208495,+,gene2206,protein_coding,M744_11465,phosphatidate cytidylyltransferase,WP_011242817.1
M744_RS10945,CP006471,2208484,2208819,-,gene2207,protein_coding,M744_11470,hypothetical protein,WP_011242818.1
M744_RS10950,CP006471,2209185,2209742,-,gene2208,protein_coding,M744_11480,hypothetical protein,WP_011242819.1
M744_RS10955,CP006471,2210111,2210587,+,gene2209,protein_coding,M744_11485,DUF1348 domain-containing protein,WP_011242820.1
M744_RS10960,CP006471,2210613,2211200,-,gene2210,protein_coding,M744_11490,hypothetical protein,WP_011242821.1
M744_RS10965,CP006471,2211210,2213165,-,gene2211,protein_coding,M744_11495,biosynthetic arginine decarboxylase,WP_049749326.1
M744_RS10970,CP006471,2213207,2213710,-,gene2212,protein_coding,M744_11500,hypothetical protein,WP_011377839.1
M744_RS10975,CP006471,2213904,2214698,+,gene2213,protein_coding,M744_11510,proteasome-type protease,WP_011377838.1
M744_RS10980,CP006471,2214649,2215512,-,gene2214,protein_coding,M744_11515,transglutaminase family protein,WP_011377837.1
M744_RS10985,CP006471,2215516,2216472,-,gene2215,protein_coding,M744_11520,alpha-E domain-containing protein,WP_011242826.1
M744_RS10990,CP006471,2216492,2217958,-,gene2216,protein_coding,M744_11525,circularly permuted type 2 ATP-grasp protein,WP_011377836.1
M744_RS10995,CP006471,2218270,2218449,+,gene2217,protein_coding,M744_11530,hypothetical protein,WP_039755767.1
M744_RS11000,CP006471,2218455,2219576,-,gene2218,protein_coding,M744_11535,histidinol-phosphate aminotransferase,WP_011377834.1
M744_RS11005,CP006471,2219606,2220520,-,gene2219,protein_coding,M744_11540,branched-chain amino acid transaminase,WP_011242829.1
M744_RS11010,CP006471,2221124,2222080,+,gene2220,protein_coding,M744_11550,alpha/beta hydrolase,WP_011242830.1
M744_RS11015,CP006471,2222350,2222664,-,gene2221,protein_coding,M744_11555,DUF370 domain-containing protein,WP_011242831.1
M744_RS11020,CP006471,2222739,2224493,+,gene2222,protein_coding,M744_11560,DUF814 domain-containing protein,WP_011242832.1
M744_RS11025,CP006471,2224826,2225296,-,gene2223,protein_coding,M744_11565,hypothetical protein,WP_011377833.1
M744_RS11030,CP006471,2225366,2226358,+,gene2224,protein_coding,M744_11570,EamA family transporter,WP_011242834.1
M744_RS13795,CP006471,2226378,2226623,+,gene2225,protein_coding,,hypothetical protein,WP_011242835.1
M744_RS11035,CP006471,2226627,2227415,+,gene2226,protein_coding,M744_11575,DUF1350 domain-containing protein,WP_011242836.1
M744_RS11040,CP006471,2227390,2228733,-,gene2227,protein_coding,M744_11580,2-succinylbenzoate--CoA ligase,WP_011242837.1
M744_RS11045,CP006471,2228718,2229668,-,gene2228,protein_coding,M744_11585,o-succinylbenzoate synthase,WP_011242838.1
M744_RS11050,CP006471,2229665,2231164,-,gene2229,protein_coding,M744_11590,4-alpha-glucanotransferase,WP_011242839.1
M744_RS11055,CP006471,2231252,2231887,-,gene2230,protein_coding,M744_11595,hypothetical protein,WP_011242840.1
M744_RS11060,CP006471,2232006,2232767,+,gene2231,protein_coding,M744_11600,YebC/PmpR family DNA-binding transcriptional regulator,WP_011377832.1
M744_RS11065,CP006471,2232836,2233042,-,gene2232,protein_coding,M744_11605,hypothetical protein,WP_039755770.1
M744_RS11070,CP006471,2233029,2233511,+,gene2233,protein_coding,M744_11610,chemotaxis protein CheW,WP_011242842.1
M744_RS11075,CP006471,2233527,2236046,+,gene2234,protein_coding,M744_11615,methyl-accepting chemotaxis protein,WP_011242843.1
M744_RS11080,CP006471,2236049,2238835,+,gene2235,protein_coding,M744_11620,hybrid sensor histidine kinase/response regulator,WP_011377831.1
M744_RS11085,CP006471,2238839,2239075,+,gene2236,protein_coding,M744_11625,hypothetical protein,WP_011377830.1
M744_RS11090,CP006471,2239722,2240495,+,gene2237,protein_coding,M744_11635,DNA-binding response regulator,WP_011242845.1
M744_RS11095,CP006471,2240508,2241749,+,gene2238,protein_coding,M744_11640,PAS domain-containing sensor histidine kinase,WP_011377829.1
M744_RS11100,CP006471,2241764,2242495,+,gene2239,protein_coding,M744_11645,rRNA pseudouridine synthase,WP_011242847.1
M744_RS11105,CP006471,2242514,2243113,+,gene2240,protein_coding,,transcriptional regulator,WP_011377828.1
M744_RS11110,CP006471,2243278,2244132,+,gene2241,protein_coding,M744_11655,formyltetrahydrofolate deformylase,WP_011377827.1
M744_RS11115,CP006471,2244169,2245560,+,gene2242,protein_coding,M744_11660,class II fumarate hydratase,WP_011242850.1
M744_RS11120,CP006471,2245795,2246040,-,gene2243,protein_coding,M744_11665,hypothetical protein,WP_039755773.1
M744_RS11125,CP006471,2246341,2247420,-,gene2244,protein_coding,M744_11670,hypothetical protein,WP_011242851.1
M744_RS11130,CP006471,2247520,2248149,-,gene2245,protein_coding,M744_11675,HAD family phosphatase,WP_011242852.1
M744_RS11135,CP006471,2248148,2248501,+,gene2246,protein_coding,M744_11680,cupin domain-containing protein,WP_011377826.1
M744_RS11140,CP006471,2248477,2250030,-,gene2247,protein_coding,M744_11685,anthranilate synthase component I,WP_011242854.1
M744_RS11145,CP006471,2250148,2250576,-,gene2248,protein_coding,M744_11690,photosystem I reaction center subunit II,WP_011377824.1
M744_RS11150,CP006471,2250785,2252578,+,gene2249,protein_coding,M744_11695,aspartate kinase,WP_039756002.1
M744_RS11155,CP006471,2253095,2256325,+,gene2250,protein_coding,M744_11700,type I secretion C-terminal target domain-containing protein,WP_011377822.1
M744_RS11160,CP006471,2256584,2256883,+,gene2251,protein_coding,M744_11705,hypothetical protein,WP_011377821.1
M744_RS11165,CP006471,2256945,2258843,-,gene2252,protein_coding,M744_11710,ATP-dependent zinc metalloprotease FtsH,WP_011377820.1
M744_RS11170,CP006471,2259032,2259208,+,gene2253,protein_coding,M744_11715,50S ribosomal protein L32,WP_011242859.1
M744_RS11175,CP006471,2259224,2260210,-,gene2254,protein_coding,M744_11720,hypothetical protein,WP_011242860.1
M744_RS11180,CP006471,2260260,2260598,-,gene2255,protein_coding,M744_11725,DUF565 domain-containing protein,WP_011242861.1
M744_RS11185,CP006471,2260718,2261287,+,gene2256,protein_coding,M744_11730,hypothetical protein,WP_011377818.1
M744_RS11190,CP006471,2261310,2262698,+,gene2257,protein_coding,M744_11735,DUF697 domain-containing protein,WP_011242863.1
M744_RS11195,CP006471,2262665,2264662,-,gene2258,protein_coding,M744_11740,hypothetical protein,WP_011377816.1
M744_RS11200,CP006471,2264735,2266000,+,gene2259,protein_coding,M744_11745,proton extrusion protein PcxA,WP_011242865.1
M744_RS11205,CP006471,2266010,2266552,+,gene2260,protein_coding,M744_11750,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,WP_011242866.1
M744_RS11210,CP006471,2266591,2267085,+,gene2261,protein_coding,M744_11755,hypothetical protein,WP_011242867.1
M744_RS11215,CP006471,2267190,2267516,+,gene2262,protein_coding,M744_11760,DUF2488 domain-containing protein,WP_011242868.1
M744_RS11220,CP006471,2267741,2268184,+,gene2263,protein_coding,M744_11765,transcriptional repressor,WP_011242869.1
M744_RS11225,CP006471,2268233,2269384,-,gene2264,protein_coding,M744_11770,glycosyltransferase family 1 protein,WP_011242870.1
M744_RS11230,CP006471,2269428,2270810,-,gene2265,protein_coding,M744_11775,MFS transporter,WP_011242871.1
M744_RS11235,CP006471,2270794,2271594,-,gene2266,protein_coding,M744_11780,DNA repair protein RecO,WP_011242872.1
M744_RS11240,CP006471,2271591,2272277,-,gene2267,protein_coding,M744_11785,2-deoxyribose-5-phosphate aldolase,WP_011242873.1
M744_RS11245,CP006471,2272297,2272911,-,gene2268,protein_coding,M744_11790,hypothetical protein,WP_011242874.1
M744_RS11250,CP006471,2272970,2274664,+,gene2269,protein_coding,M744_11795,DUF87 domain-containing protein,WP_011242875.1
tmRNA,CP006471,2274734,2275127,+,gene2270,ssrA,M744_RS13800,,
M744_RS11255,CP006471,2275188,2275811,+,gene2271,protein_coding,M744_11805,LysE family translocator,WP_011377814.1
M744_RS11260,CP006471,2275887,2276390,+,gene2272,protein_coding,M744_11810,DNA damage-inducible protein DinB,WP_011242877.1
M744_RS11265,CP006471,2276431,2276649,-,gene2273,protein_coding,M744_11815,hypothetical protein,WP_039755778.1
M744_RS11270,CP006471,2276838,2278049,-,gene2274,protein_coding,M744_11820,ferredoxin--NADP(+) reductase,WP_011242878.1
M744_RS11275,CP006471,2278454,2279455,+,gene2275,protein_coding,M744_11825,phosphoribulokinase,WP_011242879.1
M744_RS11280,CP006471,2279567,2282296,-,gene2276,protein_coding,M744_11830,poly(A) polymerase,WP_011377813.1
M744_RS11285,CP006471,2282320,2283210,+,gene2277,protein_coding,M744_11835,ribosomal RNA small subunit methyltransferase H,WP_011242881.1
M744_RS11290,CP006471,2283327,2284706,+,gene2278,pseudogene,,UDP-glucose 6-dehydrogenase,0
M744_RS11295,CP006471,2284703,2285095,-,gene2279,protein_coding,M744_11845,RidA family protein,WP_011242883.1
M744_RS11300,CP006471,2285311,2286561,+,gene2280,protein_coding,M744_11850,Rho termination protein,WP_039755781.1
M744_RS11305,CP006471,2286582,2288153,-,gene2281,protein_coding,M744_11855,C-3'%2C4' desaturase CrtD,WP_011242885.1
M744_RS11310,CP006471,2288269,2289096,+,gene2282,protein_coding,M744_11860,dienelactone hydrolase family protein,WP_011242886.1
M744_RS11315,CP006471,2289106,2289312,-,gene2283,protein_coding,M744_11865,hypothetical protein,WP_039755782.1
M744_RS11320,CP006471,2289403,2290365,-,gene2284,protein_coding,M744_11870,hydroxymethylbilane synthase,WP_011242887.1
M744_RS11325,CP006471,2290518,2291105,+,gene2285,protein_coding,M744_11875,hypothetical protein,WP_011377808.1
M744_RS11330,CP006471,2291114,2292076,-,gene2286,protein_coding,M744_11880,3'(2')%2C5'-bisphosphate nucleotidase,WP_011242889.1
M744_RS11335,CP006471,2292090,2292608,-,gene2287,protein_coding,M744_11885,hypothetical protein,WP_011242890.1
M744_RS13805,CP006471,2292825,2293205,+,gene2288,protein_coding,,methyltransferase,WP_011242891.1
M744_RS11340,CP006471,2293141,2294496,+,gene2289,protein_coding,M744_11890,16S rRNA (cytosine(967)-C(5))-methyltransferase,WP_011377807.1
M744_RS11345,CP006471,2294514,2295527,-,gene2290,protein_coding,M744_11895,LytR family transcriptional regulator,WP_011377806.1
M744_RS11350,CP006471,2295616,2296803,-,gene2291,protein_coding,M744_11900,ABC transporter ATP-binding protein,WP_039756004.1
M744_RS11355,CP006471,2296903,2297934,+,gene2292,protein_coding,M744_11905,GTPase ObgE,WP_011242895.1
M744_RS11360,CP006471,2298109,2298738,+,gene2293,protein_coding,M744_11910,phosphoribosylglycinamide formyltransferase,WP_011242896.1
M744_RS11365,CP006471,2298745,2299392,-,gene2294,protein_coding,M744_11915,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_011242897.1
M744_RS11370,CP006471,2299396,2300538,-,gene2295,protein_coding,M744_11920,GTP-binding protein,WP_011242898.1
M744_RS11375,CP006471,2300674,2301192,+,gene2296,protein_coding,M744_11925,hypothetical protein,WP_011242899.1
M744_RS11380,CP006471,2301164,2302198,+,gene2297,protein_coding,M744_11930,folate-binding protein,WP_011242900.1
M744_RS11385,CP006471,2302256,2302720,+,gene2298,protein_coding,M744_11935,EVE domain-containing protein,WP_011242901.1
M744_RS11390,CP006471,2302844,2303635,+,gene2299,protein_coding,M744_11940,PD-(D/E)XK nuclease family protein,WP_011377804.1
M744_RS11395,CP006471,2303779,2304627,-,gene2300,protein_coding,M744_11945,nicotinate-nucleotide diphosphorylase (carboxylating),WP_011377803.1
M744_RS11400,CP006471,2304727,2306043,+,gene2301,protein_coding,M744_11950,sugar ABC transporter substrate-binding protein,WP_011242904.1
M744_RS11405,CP006471,2306040,2306918,+,gene2302,protein_coding,M744_11955,sugar ABC transporter permease,WP_011242905.1
M744_RS11410,CP006471,2306918,2307745,+,gene2303,protein_coding,M744_11960,carbohydrate ABC transporter permease,WP_011377802.1
M744_RS11415,CP006471,2307750,2308817,+,gene2304,protein_coding,M744_11965,ABC transporter ATP-binding protein,WP_011242907.1
M744_RS11420,CP006471,2308836,2310323,-,gene2305,protein_coding,M744_11970,NAD(P)/FAD-dependent oxidoreductase,WP_011242908.1
M744_RS11425,CP006471,2310658,2311671,+,gene2306,protein_coding,M744_11980,DUF3641 domain-containing protein,WP_011242909.1
M744_RS11430,CP006471,2311724,2312962,-,gene2307,protein_coding,M744_11985,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,WP_011242910.1
M744_RS11435,CP006471,2312959,2314227,-,gene2308,protein_coding,M744_11990,aspartate aminotransferase family protein,WP_011377800.1
M744_RS11440,CP006471,2314615,2316507,+,gene2309,protein_coding,M744_12000,ATP-dependent zinc metalloprotease FtsH,WP_011242912.1
M744_RS11445,CP006471,2316691,2318400,+,gene2310,protein_coding,M744_12005,ABC transporter ATP-binding protein,WP_011242913.1
M744_RS11450,CP006471,2318825,2319175,+,gene2311,protein_coding,M744_12015,transcriptional regulator,WP_011242914.1
M744_RS11455,CP006471,2319220,2319846,-,gene2312,protein_coding,M744_12020,adenylyl-sulfate kinase,WP_011242915.1
M744_RS11460,CP006471,2319924,2320244,-,gene2313,protein_coding,M744_12025,transcriptional regulator,WP_011377799.1
M744_RS11465,CP006471,2320337,2321029,+,gene2314,protein_coding,M744_12030,MBL fold metallo-hydrolase,WP_011242917.1
M744_RS11470,CP006471,2321076,2321621,+,gene2315,protein_coding,M744_12035,rhodanese,WP_011377798.1
M744_RS11475,CP006471,2321626,2322396,+,gene2316,protein_coding,M744_12040,sulfite exporter TauE/SafE family protein,WP_011377797.1
M744_RS11480,CP006471,2322408,2323469,-,gene2317,protein_coding,M744_12045,hypothetical protein,WP_011377796.1
M744_RS11485,CP006471,2323569,2324054,+,gene2318,protein_coding,M744_12050,hypothetical protein,WP_011242921.1
M744_RS11490,CP006471,2324072,2325271,-,gene2319,protein_coding,M744_12055,lipid-A-disaccharide synthase,WP_011242922.1
M744_RS11495,CP006471,2325272,2326078,-,gene2320,protein_coding,M744_12060,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,WP_011377794.1
M744_RS11500,CP006471,2326085,2326552,-,gene2321,protein_coding,M744_12065,beta-hydroxyacyl-ACP dehydratase,WP_011377793.1
M744_RS11505,CP006471,2326571,2327425,-,gene2322,protein_coding,M744_12070,UDP-3-O-acyl-N-acetylglucosamine deacetylase,WP_011242925.1
M744_RS11510,CP006471,2327435,2329600,-,gene2323,protein_coding,M744_12075,membrane protein,WP_011377792.1
M744_RS11515,CP006471,2329718,2330443,-,gene2324,protein_coding,M744_12080,phosphoribosylaminoimidazolesuccinocarboxamide synthase,WP_011377791.1
M744_RS11520,CP006471,2330471,2331730,-,gene2325,protein_coding,M744_12085,hypothetical protein,WP_011242928.1
M744_RS11525,CP006471,2331885,2333186,+,gene2326,protein_coding,M744_12095,phosphoribosylamine--glycine ligase,WP_011242929.1
M744_RS11530,CP006471,2333250,2335244,+,gene2327,protein_coding,M744_12100,PAS domain-containing sensor histidine kinase,WP_011377790.1
M744_RS11535,CP006471,2335296,2336171,+,gene2328,protein_coding,M744_12105,S-methyl-5'-thioadenosine phosphorylase,WP_011242931.1
M744_RS11540,CP006471,2336171,2337073,+,gene2329,protein_coding,M744_12110,tRNA glutamyl-Q(34) synthetase GluQRS,WP_011377789.1
M744_RS11545,CP006471,2337070,2337372,+,gene2330,protein_coding,M744_12115,DUF3593 domain-containing protein,WP_011242933.1
M744_RS11550,CP006471,2337490,2337744,+,gene2331,protein_coding,M744_12120,photosystem I reaction center subunit PsaK,WP_011242934.1
M744_RS11555,CP006471,2337941,2338387,-,gene2332,protein_coding,M744_12125,hypothetical protein,WP_011377788.1
M744_RS11560,CP006471,2338436,2340385,-,gene2333,protein_coding,M744_12130,long-chain fatty acid--CoA ligase,WP_039755787.1
M744_RS11565,CP006471,2340671,2340937,+,gene2334,protein_coding,M744_12135,hypothetical protein,WP_011242937.1
M744_RS11570,CP006471,2341147,2341221,-,gene2335,tRNA,M744_12140,,
M744_RS11575,CP006471,2341229,2341313,-,gene2336,tRNA,M744_12145,,
M744_RS13850,CP006471,2341488,2341616,+,gene2337,protein_coding,,hypothetical protein,WP_011242938.1
M744_RS11580,CP006471,2341627,2342076,+,gene2338,protein_coding,M744_12160,type II 3-dehydroquinate dehydratase,WP_011242939.1
M744_RS11585,CP006471,2342073,2342684,+,gene2339,protein_coding,M744_12165,tRNA-(ms[2]io[6]A)-hydroxylase,WP_011242940.1
M744_RS11590,CP006471,2342684,2343178,+,gene2340,protein_coding,M744_12170,N-acetyltransferase,WP_011242941.1
M744_RS11595,CP006471,2343181,2345139,-,gene2341,protein_coding,M744_12175,DNA polymerase III subunit gamma/tau,WP_011242942.1
M744_RS11600,CP006471,2345215,2345466,-,gene2342,protein_coding,M744_12180,hypothetical protein,WP_011242943.1
M744_RS11605,CP006471,2345476,2345904,-,gene2343,protein_coding,M744_12185,tetratricopeptide repeat protein,WP_011242944.1
M744_RS11610,CP006471,2345973,2346329,-,gene2344,protein_coding,M744_12190,iron-sulfur cluster assembly accessory protein,WP_011242945.1
M744_RS11615,CP006471,2346477,2347184,-,gene2345,protein_coding,M744_12195,hypothetical protein,WP_011377786.1
M744_RS11620,CP006471,2347298,2347756,-,gene2346,protein_coding,M744_12200,hypothetical protein,WP_011242947.1
M744_RS11625,CP006471,2347773,2348237,-,gene2347,protein_coding,M744_12205,hypothetical protein,WP_039755790.1
M744_RS11630,CP006471,2349362,2349907,-,gene2348,protein_coding,M744_12210,hypothetical protein,WP_011377782.1
M744_RS11635,CP006471,2350179,2352764,+,gene2349,protein_coding,M744_12215,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,WP_011242949.1
M744_RS11640,CP006471,2352826,2353785,+,gene2350,protein_coding,M744_12220,hypothetical protein,WP_011242950.1
M744_RS11645,CP006471,2353844,2354698,-,gene2351,protein_coding,M744_12225,hydrolase,WP_039756008.1
M744_RS11650,CP006471,2354877,2355080,+,gene2352,protein_coding,M744_12230,hypothetical protein,WP_011242952.1
M744_RS11655,CP006471,2355225,2356022,+,gene2353,protein_coding,M744_12235,hypothetical protein,WP_011377780.1
M744_RS11660,CP006471,2356118,2356189,-,gene2354,tRNA,M744_12240,,
M744_RS11665,CP006471,2356203,2356595,-,gene2355,protein_coding,M744_12245,ferredoxin,WP_011377779.1
M744_RS11670,CP006471,2356592,2356867,-,gene2356,protein_coding,M744_12250,cell division topological specificity factor,WP_011242955.1
M744_RS11675,CP006471,2356882,2357688,-,gene2357,protein_coding,M744_12255,septum site-determining protein MinD,WP_011242956.1
M744_RS11680,CP006471,2357863,2359035,+,gene2358,protein_coding,M744_12260,hypothetical protein,WP_011242957.1
M744_RS11685,CP006471,2359103,2359675,+,gene2359,protein_coding,M744_12265,shikimate kinase,WP_011242958.1
M744_RS11690,CP006471,2360237,2361319,-,gene2360,protein_coding,M744_12270,photosystem I reaction center subunit IX,WP_011242480.1
M744_RS11695,CP006471,2361401,2362411,+,gene2361,protein_coding,M744_12275,FO synthase subunit 1,WP_011242960.1
M744_RS11700,CP006471,2362485,2362784,-,gene2362,protein_coding,M744_12280,DUF1830 domain-containing protein,WP_011242961.1
M744_RS11705,CP006471,2363162,2367772,-,gene2363,protein_coding,M744_12285,glutamate synthase large subunit,WP_039755794.1
M744_RS11710,CP006471,2368067,2369884,+,gene2364,protein_coding,M744_12290,hypothetical protein,WP_011377777.1
M744_RS11715,CP006471,2369881,2370240,+,gene2365,protein_coding,M744_12295,mannose-6-phosphate isomerase,WP_011242964.1
M744_RS11720,CP006471,2370396,2370770,+,gene2366,protein_coding,M744_12300,30S ribosomal protein S12,WP_011242965.1
M744_RS11725,CP006471,2370938,2371408,+,gene2367,protein_coding,M744_12305,30S ribosomal protein S7,WP_011242966.1
M744_RS11730,CP006471,2371483,2373567,+,gene2368,protein_coding,M744_12310,elongation factor G,WP_011242967.1
M744_RS11735,CP006471,2373594,2374823,+,gene2369,protein_coding,M744_12315,elongation factor Tu,WP_011242968.1
M744_RS11740,CP006471,2374897,2375214,+,gene2370,protein_coding,M744_12320,30S ribosomal protein S10,WP_011242969.1
M744_RS11745,CP006471,2375424,2376080,+,gene2371,protein_coding,M744_12325,ATP-dependent protease,WP_011242970.1
M744_RS11750,CP006471,2376093,2376968,-,gene2372,protein_coding,M744_12330,prephenate dehydratase,WP_011377776.1
M744_RS11755,CP006471,2377048,2377605,+,gene2373,protein_coding,M744_12335,DUF1997 domain-containing protein,WP_011242972.1
M744_RS11760,CP006471,2377628,2378275,-,gene2374,protein_coding,M744_12340,ribonuclease HII,WP_011242973.1
M744_RS11765,CP006471,2378259,2380685,-,gene2375,protein_coding,M744_12345,ribonuclease E,WP_011377775.1
M744_RS11770,CP006471,2381035,2383653,-,gene2376,protein_coding,M744_12355,B12-binding protein,WP_011242975.1
M744_RS11775,CP006471,2383845,2386475,-,gene2377,protein_coding,M744_12360,alanine--tRNA ligase,WP_039755798.1
M744_RS11780,CP006471,2386633,2387067,+,gene2378,protein_coding,M744_12365,hypothetical protein,WP_011377773.1
M744_RS11785,CP006471,2387071,2390130,+,gene2379,protein_coding,M744_12370,ATP-dependent helicase,WP_011377772.1
M744_RS11790,CP006471,2390324,2391412,+,gene2380,protein_coding,M744_12375,DUF4062 domain-containing protein,WP_011242979.1
M744_RS11795,CP006471,2391580,2392158,-,gene2381,protein_coding,M744_12380,hypothetical protein,WP_011242980.1
M744_RS11800,CP006471,2392205,2392414,+,gene2382,protein_coding,M744_12385,type II toxin-antitoxin system HicB family antitoxin,WP_039755800.1
M744_RS11805,CP006471,2392407,2392634,+,gene2383,protein_coding,M744_12390,addiction module toxin%2C HicA family,WP_011242982.1
M744_RS11810,CP006471,2392668,2393258,-,gene2384,protein_coding,M744_12395,hypothetical protein,WP_011377770.1
M744_RS11815,CP006471,2393267,2395015,-,gene2385,protein_coding,M744_12400,hypothetical protein,WP_011242984.1
M744_RS11820,CP006471,2395016,2395351,-,gene2386,protein_coding,M744_12405,hypothetical protein,WP_011377769.1
M744_RS11825,CP006471,2395399,2395980,-,gene2387,protein_coding,M744_12410,hypothetical protein,WP_011377768.1
M744_RS11830,CP006471,2396043,2396534,-,gene2388,protein_coding,M744_12415,YajQ family cyclic di-GMP-binding protein,WP_011242987.1
M744_RS11835,CP006471,2396607,2397125,-,gene2389,protein_coding,M744_12420,hypothetical protein,WP_011242988.1
M744_RS11840,CP006471,2397312,2398493,-,gene2390,protein_coding,M744_12425,hypothetical protein,WP_011242989.1
M744_RS11845,CP006471,2398547,2398924,-,gene2391,protein_coding,M744_12430,hypothetical protein,WP_011242990.1
M744_RS11850,CP006471,2399051,2400340,+,gene2392,protein_coding,M744_12435,short-chain dehydrogenase,WP_011242991.1
M744_RS11855,CP006471,2400574,2401533,-,gene2393,protein_coding,M744_12440,hypothetical protein,WP_011242992.1
M744_RS11860,CP006471,2401544,2404402,-,gene2394,protein_coding,M744_12445,hybrid sensor histidine kinase/response regulator,WP_011377767.1
M744_RS11865,CP006471,2404407,2408627,-,gene2395,protein_coding,M744_12450,chemotaxis protein,WP_011377766.1
M744_RS11870,CP006471,2408699,2409205,-,gene2396,protein_coding,M744_12455,chemotaxis protein CheW,WP_011242995.1
M744_RS11875,CP006471,2409225,2409587,-,gene2397,protein_coding,M744_12460,response regulator,WP_011242996.1
M744_RS11880,CP006471,2409638,2410891,-,gene2398,protein_coding,M744_12465,response regulator,WP_011377765.1
M744_RS11885,CP006471,2411891,2414287,-,gene2399,protein_coding,M744_12475,hypothetical protein,WP_011377764.1
M744_RS11890,CP006471,2414415,2415650,-,gene2400,protein_coding,M744_12480,LL-diaminopimelate aminotransferase,WP_011242999.1
M744_RS13810,CP006471,2415637,2416113,-,gene2401,protein_coding,,transposase,WP_011243000.1
